llamar a Irene Powell	[IN:CREATE_CALL [SL:CONTACT Irene Powell SL:CONTACT] IN:CREATE_CALL]
Recuérda me que debo levantarme a la mañana para ir al trabajo a las 9 : 30 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO levantarme para ir al trabajo SL:TODO] [SL:DATE_TIME mañana a las 9 : 30 SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me que debo tomar mi píldora a las 13 : 00 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO tomar mi píldora SL:TODO] [SL:DATE_TIME a las 13 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Agrega un recordatorio para buscar a los niños .	[IN:CREATE_REMINDER [SL:TODO buscar a los niños SL:TODO] IN:CREATE_REMINDER]
Necesito un recordatorio para las 16 : 00 para mi cita de mañana .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED Necesito SL:PERSON_REMINDED] [SL:DATE_TIME para las 16 : 00 SL:DATE_TIME] [SL:TODO [IN:GET_TODO [SL:TODO mi cita SL:TODO] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_TODO] SL:TODO] IN:CREATE_REMINDER]
Recuérda me el brunch de mañana a las 10 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO brunch SL:TODO] [SL:DATE_TIME mañana a las 10 SL:DATE_TIME] IN:CREATE_REMINDER]
¡ Recuérda me recoger mi café hoy !	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO recoger mi café SL:TODO] [SL:DATE_TIME hoy SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me comprar artículos mañana .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO comprar artículos SL:TODO] [SL:DATE_TIME mañana SL:DATE_TIME] IN:CREATE_REMINDER]
Crea un recordatorio para el año que viene el 1 de octubre para pensar en un disfraz de Halloween .	[IN:CREATE_REMINDER [SL:DATE_TIME para el año que viene el 1 de octubre SL:DATE_TIME] [SL:TODO pensar en un disfraz de Halloween SL:TODO] IN:CREATE_REMINDER]
Recuérda me con una alarma en 10 minutos .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:DATE_TIME en 10 minutos SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me que tengo un turno con el médico el día 5 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO un turno con el médico SL:TODO] [SL:DATE_TIME día 5 SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me comprar comida para el perro mañana .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO comprar comida para el perro SL:TODO] [SL:DATE_TIME mañana SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me el turno con el dentista .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO turno con el dentista SL:TODO] IN:CREATE_REMINDER]
Recuérda me llamar a mi madre .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO   [IN:CREATE_CALL     [SL:CONTACT       [IN:GET_CONTACT         [SL:CONTACT_RELATED mi SL:CONTACT_RELATED]         [SL:TYPE_RELATION madre SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL] SL:TODO] IN:CREATE_REMINDER]
Recuérda me el turno con el dentista .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO turno con el dentista SL:TODO] IN:CREATE_REMINDER]
Programa un recordatorio para agregar ingrediente .	[IN:CREATE_REMINDER [SL:TODO agregar ingrediente SL:TODO] IN:CREATE_REMINDER]
¿ Cuántos recordatorios tengo que programar ?	[IN:GET_REMINDER_AMOUNT [SL:PERSON_REMINDED tengo SL:PERSON_REMINDED] IN:GET_REMINDER_AMOUNT]
Recuérda me programar una alarma mañana .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO programar una alarma SL:TODO] [SL:DATE_TIME mañana SL:DATE_TIME] IN:CREATE_REMINDER]
Cancela todos mis recordatorios .	[IN:DELETE_REMINDER [SL:AMOUNT todos SL:AMOUNT] [SL:PERSON_REMINDED mis SL:PERSON_REMINDED] IN:DELETE_REMINDER]
Recuérda me mi turno con el odontólogo una semana antes .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO turno con el odontólogo SL:TODO] [SL:DATE_TIME una semana antes SL:DATE_TIME] IN:CREATE_REMINDER]
Programa un recordatorio para sacar el pastel en 30 minutos .	[IN:CREATE_REMINDER [SL:TODO sacar el pastel SL:TODO] [SL:DATE_TIME en 30 minutos SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me siempre sobre los turnos un día antes .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO turnos SL:TODO] [SL:DATE_TIME un día antes SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me apagar las luces .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO apagar las luces SL:TODO] IN:CREATE_REMINDER]
Recuérda me que tengo que recoger los paquetes el martes .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO recoger los paquetes SL:TODO] [SL:DATE_TIME martes SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me que debo llevar el formulario de prescripción de Camden .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO llevar el formulario de prescripción de Camden SL:TODO] IN:CREATE_REMINDER]
¿ Para cuándo está programado el recordatorio de la fiesta de cumpleaños de Traico ?	[IN:GET_REMINDER_DATE_TIME [SL:TODO fiesta de cumpleaños de Traico SL:TODO] IN:GET_REMINDER_DATE_TIME]
Recuérda me que debo pagar la factura telefónica antes de la próxima semana .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO pagar la factura telefónica SL:TODO] [SL:DATE_TIME antes de la próxima semana SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me que tome los medicamentos .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO tome los medicamentos SL:TODO] IN:CREATE_REMINDER]
Recuérda me que debo tomar los anticonceptivos .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO tomar los anticonceptivos SL:TODO] IN:CREATE_REMINDER]
Necesito que programes un temporizador para las 18 : 00 .	[IN:CREATE_REMINDER [SL:DATE_TIME para las 18 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me mañana por la mañana vestirme casualmente para trabajar .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO vestirme casualmente para trabajar SL:TODO] [SL:DATE_TIME mañana por la mañana SL:DATE_TIME] IN:CREATE_REMINDER]
Cancela mi recordatorio para pasear al perro .	[IN:DELETE_REMINDER [SL:PERSON_REMINDED mi SL:PERSON_REMINDED] [SL:TODO pasear al perro SL:TODO] IN:DELETE_REMINDER]
Muéstra me los recordatorios para esta semana .	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Muéstra me SL:METHOD_RETRIEVAL_REMINDER] [SL:DATE_TIME para esta semana SL:DATE_TIME] IN:GET_REMINDER]
¿ Hay un recordatorio programado para las compras de Navidad ?	[IN:GET_REMINDER [SL:TODO compras de Navidad SL:TODO] IN:GET_REMINDER]
Cancela el recordatorio de la cita del miércoles .	[IN:DELETE_REMINDER [SL:TODO cita SL:TODO] [SL:DATE_TIME del miércoles SL:DATE_TIME] IN:DELETE_REMINDER]
Cancela mi recordatorio del martes .	[IN:DELETE_REMINDER [SL:PERSON_REMINDED mi SL:PERSON_REMINDED] [SL:DATE_TIME martes SL:DATE_TIME] IN:DELETE_REMINDER]
Recuérda me que las clases empiezan el miércoles a las 9 : 00 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO clases SL:TODO] [SL:DATE_TIME miércoles a las 9 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me conseguir cerveza mañana .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO conseguir cerveza SL:TODO] [SL:DATE_TIME mañana SL:DATE_TIME] IN:CREATE_REMINDER]
Cancela mis recordatorios de hoy .	[IN:DELETE_REMINDER [SL:PERSON_REMINDED mis SL:PERSON_REMINDED] [SL:DATE_TIME de hoy SL:DATE_TIME] IN:DELETE_REMINDER]
Cancela los recordatorios para hoy .	[IN:DELETE_REMINDER [SL:DATE_TIME para hoy SL:DATE_TIME] IN:DELETE_REMINDER]
Recuérda me que debo tomar el papeleo antes de salir de la oficina .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO tomar el papeleo antes de salir de la oficina SL:TODO] IN:CREATE_REMINDER]
Recuérda me que debo comprarle un regalo a Jana .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO comprarle un regalo a Jana SL:TODO] IN:CREATE_REMINDER]
RECORDATORIO JUEGO DE TRONOS .	[IN:CREATE_REMINDER [SL:TODO JUEGO DE TRONOS SL:TODO] IN:CREATE_REMINDER]
¿ Tengo algún recordatorio para hoy ?	[IN:GET_REMINDER [SL:PERSON_REMINDED Tengo SL:PERSON_REMINDED] [SL:DATE_TIME para hoy SL:DATE_TIME] IN:GET_REMINDER]
Recuérda me pagar el paseo del perro .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO pagar el paseo del perro SL:TODO] IN:CREATE_REMINDER]
Recuérda me que esta noche le dé a los perros el medicamento para las pulgas .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO le dé a los perros el medicamento para las pulgas SL:TODO] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me revisar el banco a las 15 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO revisar el banco SL:TODO] [SL:DATE_TIME a las 15 SL:DATE_TIME] IN:CREATE_REMINDER]
¿ Recuérda me que programe la cita ?	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO programe la cita SL:TODO] IN:CREATE_REMINDER]
Recuérda me la próxima reunión de negocios .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO próxima reunión de negocios SL:TODO] IN:CREATE_REMINDER]
Muéstra me una lista de mis recordatorios para el domingo que viene .	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER lista SL:METHOD_RETRIEVAL_REMINDER] [SL:PERSON_REMINDED mis SL:PERSON_REMINDED] [SL:DATE_TIME para el domingo que viene SL:DATE_TIME] IN:GET_REMINDER]
Programa un recordatorio a las 12 : 00 de hoy .	[IN:CREATE_REMINDER [SL:DATE_TIME a las 12 : 00 de hoy SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me tomar mi medicamento antes de medianoche .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO tomar mi medicamento SL:TODO] [SL:DATE_TIME antes de medianoche SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me limpiar la papelera .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO limpiar la papelera SL:TODO] IN:CREATE_REMINDER]
Programa un recordatorio para apagar el aire acondicionado a las 10 : 00 .	[IN:CREATE_REMINDER [SL:TODO apagar el aire acondicionado SL:TODO] [SL:DATE_TIME a las 10 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
¿ Tengo un recordatorio programado para ir al médico mañana ?	[IN:GET_REMINDER [SL:PERSON_REMINDED Tengo SL:PERSON_REMINDED] [SL:TODO al médico SL:TODO] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_REMINDER]
Recuérda me que mañana llame a Josh y revisemos nuestros planes .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:DATE_TIME mañana SL:DATE_TIME] [SL:TODO   [IN:GET_TODO     [SL:TODO [IN:CREATE_CALL [SL:CONTACT Josh SL:CONTACT] IN:CREATE_CALL] SL:TODO]     [SL:TODO revisemos nuestros planes SL:TODO] IN:GET_TODO] SL:TODO] IN:CREATE_REMINDER]
Crea recordatorio de conseguir mantequilla tan pronto como sea posible .	[IN:CREATE_REMINDER [SL:TODO conseguir mantequilla tan pronto como sea posible SL:TODO] IN:CREATE_REMINDER]
Recuérda me tomar mi medicamento a las 21 : 00 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO tomar mi medicamento SL:TODO] [SL:DATE_TIME a las 21 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Añade un recordatorio para hacer el lavado .	[IN:CREATE_REMINDER [SL:TODO hacer el lavado SL:TODO] IN:CREATE_REMINDER]
Recuérda me mi cita con el dentista el sábado .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO mi cita con el dentista SL:TODO] [SL:DATE_TIME sábado SL:DATE_TIME] IN:CREATE_REMINDER]
Programa un recordatorio para las 20 : 00 .	[IN:CREATE_REMINDER [SL:DATE_TIME para las 20 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me que busque la ropa en la tintorería antes de que cierre .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO busque la ropa en la tintorería antes de que cierre SL:TODO] IN:CREATE_REMINDER]
Recuérda me comprar una torta el lunes .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO comprar una torta SL:TODO] [SL:DATE_TIME lunes SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me que tengo una cita con el médico el próximo miércoles .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO una cita con el médico SL:TODO] [SL:DATE_TIME próximo miércoles SL:DATE_TIME] IN:CREATE_REMINDER]
¿ Tengo algún recordatorio ?	[IN:GET_REMINDER [SL:PERSON_REMINDED Tengo SL:PERSON_REMINDED] IN:GET_REMINDER]
Recuérda me actualizar mis aplicaciones esta noche .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO actualizar mis aplicaciones SL:TODO] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me recoger a Jake a las 3 : 00 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO recoger a Jake SL:TODO] [SL:DATE_TIME a las 3 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Muéstra me todos los recordatorios activos .	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Muéstra SL:METHOD_RETRIEVAL_REMINDER] [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:AMOUNT todos SL:AMOUNT] IN:GET_REMINDER]
Recuérda me cambiar la alarma de las 7 : 00 a las 6 : 00 para el lunes siguiente .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO cambiar la alarma de las 7 : 00 a las 6 : 00 SL:TODO] [SL:DATE_TIME para el lunes siguiente SL:DATE_TIME] IN:CREATE_REMINDER]
Programa un recordatorio de que el viernes es el día de pago .	[IN:CREATE_REMINDER [SL:TODO   [IN:GET_TODO [SL:DATE_TIME viernes SL:DATE_TIME] [SL:TODO día de pago SL:TODO] IN:GET_TODO] SL:TODO] IN:CREATE_REMINDER]
Cancela todos mis recordatorios .	[IN:DELETE_REMINDER [SL:AMOUNT todos SL:AMOUNT] [SL:PERSON_REMINDED mis SL:PERSON_REMINDED] IN:DELETE_REMINDER]
Recuérda me ajustar a templado en 15 minutos .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO ajustar a templado SL:TODO] [SL:DATE_TIME en 15 minutos SL:DATE_TIME] IN:CREATE_REMINDER]
Cancela mi recordatorio de pagarle a Lorraine .	[IN:DELETE_REMINDER [SL:PERSON_REMINDED mi SL:PERSON_REMINDED] [SL:TODO pagarle a Lorraine SL:TODO] IN:DELETE_REMINDER]
Recuérda me comprar flores de camino a casa .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO comprar flores de camino a casa SL:TODO] IN:CREATE_REMINDER]
Programa un recordatorio para mañana a las 6 : 00 .	[IN:CREATE_REMINDER [SL:DATE_TIME para mañana a las 6 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me ingresar las horas facturables .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO ingresar las horas facturables SL:TODO] IN:CREATE_REMINDER]
Recuérda me que saque la basura esta noche a las 22 : 00 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO saque la basura SL:TODO] [SL:DATE_TIME esta noche a las 22 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me dos veces que hoy ponga a secar la ropa que lavé .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:AMOUNT dos veces SL:AMOUNT] [SL:TODO secar la ropa SL:TODO] [SL:DATE_TIME hoy SL:DATE_TIME] IN:CREATE_REMINDER]
Muéstra me mis recordatorios de la próxima semana .	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Muéstra me SL:METHOD_RETRIEVAL_REMINDER] [SL:PERSON_REMINDED mis SL:PERSON_REMINDED] [SL:DATE_TIME de la próxima semana SL:DATE_TIME] IN:GET_REMINDER]
Recuérda me pagar la renta el 31 a la tarde .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO pagar la renta SL:TODO] [SL:DATE_TIME 31 a la tarde SL:DATE_TIME] IN:CREATE_REMINDER]
¿ Cuál es mi recordatorio ?	[IN:GET_REMINDER [SL:PERSON_REMINDED mi SL:PERSON_REMINDED] IN:GET_REMINDER]
Recuérda me mi cita médica el próximo lunes .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO mi cita médica SL:TODO] [SL:DATE_TIME próximo lunes SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me ir al médico el 8 de septiembre a las 9 : 00 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO ir al médico SL:TODO] [SL:DATE_TIME 8 de septiembre a las 9 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me cuando aparece el número cinco .	[IN:GET_REMINDER_DATE_TIME [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO cuando aparece el número cinco SL:TODO] IN:GET_REMINDER_DATE_TIME]
Recuérda me comprar leche .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO comprar leche SL:TODO] IN:CREATE_REMINDER]
¿ Cuáles son mis recordatorios para esta tarde ?	[IN:GET_REMINDER [SL:PERSON_REMINDED mis SL:PERSON_REMINDED] [SL:DATE_TIME para esta tarde SL:DATE_TIME] IN:GET_REMINDER]
Recuérda me que compre huevos luego del trabajo hoy de noche .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO compre huevos luego del trabajo SL:TODO] [SL:DATE_TIME hoy de noche SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me archivar mis impuestos el 1 de abril .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO archivar mis impuestos SL:TODO] [SL:DATE_TIME 1 de abril SL:DATE_TIME] IN:CREATE_REMINDER]
Programa un nuevo recordatorio para las 11 : 30 .	[IN:CREATE_REMINDER [SL:DATE_TIME para las 11 : 30 SL:DATE_TIME] IN:CREATE_REMINDER]
Programa el recordatorio del miércoles de la iglesia .	[IN:CREATE_REMINDER [SL:TODO [IN:GET_TODO [SL:DATE_TIME miércoles SL:DATE_TIME] [SL:TODO iglesia SL:TODO] IN:GET_TODO] SL:TODO] IN:CREATE_REMINDER]
Recuérda me el cumpleaños de Cristina mañana a las 9 : 00 de la mañana .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO cumpleaños de Cristina SL:TODO] [SL:DATE_TIME mañana a las 9 : 00 de la mañana SL:DATE_TIME] IN:CREATE_REMINDER]
Configurar recordatorio para desearle a Alex	[IN:CREATE_REMINDER [SL:TODO desearle a Alex SL:TODO] IN:CREATE_REMINDER]
Cambia mi recordatorio de mañana a hoy a las 17 : 00 .	[IN:UPDATE_REMINDER_DATE_TIME [SL:PERSON_REMINDED mi SL:PERSON_REMINDED] [SL:DATE_TIME de mañana SL:DATE_TIME] [SL:DATE_TIME a hoy a las 17 : 00 SL:DATE_TIME] IN:UPDATE_REMINDER_DATE_TIME]
¿ Cuáles son mis recordatorios para este fin de semana ?	[IN:GET_REMINDER [SL:PERSON_REMINDED mis SL:PERSON_REMINDED] [SL:DATE_TIME para este fin de semana SL:DATE_TIME] IN:GET_REMINDER]
¿ Puedes recordar me lavar el auto ?	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO lavar el auto SL:TODO] IN:CREATE_REMINDER]
Recuérda me comprar bebidas cuando cargue combustible .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO comprar bebidas cuando cargue combustible SL:TODO] IN:CREATE_REMINDER]
Cancela el recordatorio de mañana .	[IN:DELETE_REMINDER [SL:DATE_TIME de mañana SL:DATE_TIME] IN:DELETE_REMINDER]
Recuérda me que Walking Dead empieza el domingo a las 19 : 00 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO Walking Dead empieza SL:TODO] [SL:DATE_TIME domingo a las 19 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Agrega un recordatorio para el análisis de sangre del miércoles a las 9 : 00 .	[IN:CREATE_REMINDER [SL:TODO análisis de sangre SL:TODO] [SL:DATE_TIME del miércoles a las 9 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Cancela mi recordatorio de comprar tocino .	[IN:DELETE_REMINDER [SL:PERSON_REMINDED mi SL:PERSON_REMINDED] [SL:TODO comprar tocino SL:TODO] IN:DELETE_REMINDER]
Recuérda me pagar la factura del celular la semana que viene .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO pagar la factura del celular SL:TODO] [SL:DATE_TIME semana que viene SL:DATE_TIME] IN:CREATE_REMINDER]
Envía me un recordatorio mañana a las 15 : 00 acerca de mi entrevista de trabajo .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO mi entrevista de trabajo SL:TODO] [SL:DATE_TIME mañana a las 15 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me que debo devolver los libros a la biblioteca el viernes .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO devolver los libros a la biblioteca SL:TODO] [SL:DATE_TIME viernes SL:DATE_TIME] IN:CREATE_REMINDER]
Cancela mis recordatorios de mañana .	[IN:DELETE_REMINDER [SL:PERSON_REMINDED mis SL:PERSON_REMINDED] [SL:DATE_TIME de mañana SL:DATE_TIME] IN:DELETE_REMINDER]
¿ Puedes programar un recordatorio para apagar el aire acondicionado en media hora ?	[IN:CREATE_REMINDER [SL:TODO apagar el aire acondicionado SL:TODO] [SL:DATE_TIME en media hora SL:DATE_TIME] IN:CREATE_REMINDER]
¿ Tengo algún recordatorio para hoy ?	[IN:GET_REMINDER [SL:PERSON_REMINDED Tengo SL:PERSON_REMINDED] [SL:DATE_TIME para hoy SL:DATE_TIME] IN:GET_REMINDER]
Muestra todos los recordatorios activos .	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Muestra SL:METHOD_RETRIEVAL_REMINDER] [SL:AMOUNT todos SL:AMOUNT] IN:GET_REMINDER]
Recuérda me que pague la renta el miércoles .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO pague la renta SL:TODO] [SL:DATE_TIME miércoles SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me de mi almuerzo al mediodía hoy .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO mi almuerzo SL:TODO] [SL:DATE_TIME al mediodía hoy SL:DATE_TIME] IN:CREATE_REMINDER]
Cancela mi recordatorio para comprar comida para gato .	[IN:DELETE_REMINDER [SL:PERSON_REMINDED mi SL:PERSON_REMINDED] [SL:TODO comprar comida para gato SL:TODO] IN:DELETE_REMINDER]
Recuérda me que tengo una reunión por la mañana .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO una reunión SL:TODO] [SL:DATE_TIME por la mañana SL:DATE_TIME] IN:CREATE_REMINDER]
Programa un recordatorio sobre el tour en tranvía el 24 de agosto .	[IN:CREATE_REMINDER [SL:TODO tour en tranvía SL:TODO] [SL:DATE_TIME 24 de agosto SL:DATE_TIME] IN:CREATE_REMINDER]
Borra el recordatorio de comprar cereal .	[IN:DELETE_REMINDER [SL:TODO comprar cereal SL:TODO] IN:DELETE_REMINDER]
Programa un recordatorio para la fecha límite del trabajo de fin de curso .	[IN:CREATE_REMINDER [SL:TODO fecha límite del trabajo de fin de curso SL:TODO] IN:CREATE_REMINDER]
Recuérda me que programe la agenda para recoger la compra en el supermercado .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO   programe   la   agenda   para   recoger   la   compra   en   el   supermercado SL:TODO] IN:CREATE_REMINDER]
Recuérda me echar veneno para insectos mañana a las 15 : 00 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO echar veneno para insectos SL:TODO] [SL:DATE_TIME mañana a las 15 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
